state,startdate,enddate,grade,samplesize,population,rawpoll_clinton,rawpoll_trump
TN,10/14/2016,10/17/2016,,508,rv,34,44
CO,11/1/2016,11/2/2016,B-,1125,rv,40,40
PA,10/17/2016,10/19/2016,B,800,lv,45,41
LA,10/17/2016,11/6/2016,A-,461,lv,36.12,51.56
FL,10/12/2016,10/13/2016,B+,985,lv,46,42
NV,10/10/2016,10/15/2016,A-,698,lv,46,44
TX,10/4/2016,11/6/2016,B,5874,lv,36.8,44.7
NV,10/10/2016,10/11/2016,B+,986,lv,47,43
PA,10/31/2016,10/31/2016,B-,2606,rv,47,46
NE,11/1/2016,11/7/2016,B,266,lv,30.33,41.35
CA,10/4/2016,11/6/2016,B,8746,lv,51.8,30.4
OK,10/17/2016,11/6/2016,A-,432,lv,29.85,60.78
IN,10/22/2016,10/24/2016,B-,596,rv,38,49
MO,10/9/2016,10/11/2016,A+,406,lv,41,46
NM,11/1/2016,11/7/2016,B,261,lv,42.52,29.93
NV,11/1/2016,11/7/2016,B,259,lv,36.02,37.99
CA,10/7/2016,10/13/2016,,622,lv,61,25
IA,10/17/2016,11/6/2016,A-,416,lv,44.07,43.87
IL,10/4/2016,11/6/2016,B,3448,lv,48.3,33.1
NY,10/4/2016,11/6/2016,B,4663,lv,52.7,31.4
AZ,10/14/2016,10/14/2016,,400,lv,38.5,36.5
OK,11/1/2016,11/7/2016,B,248,lv,26.74,43.34
PA,10/4/2016,11/6/2016,B,3704,lv,42.7,41.2
FL,10/4/2016,11/6/2016,B,5371,lv,44,42.9
OH,10/4/2016,11/6/2016,B,3455,lv,43.2,41.5
VA,10/4/2016,11/6/2016,B,2460,lv,46.1,37
NJ,10/4/2016,11/6/2016,B,2377,lv,47.7,35.7
TX,10/14/2016,10/23/2016,B,959,lv,42,45
NC,10/4/2016,11/6/2016,B,2916,lv,43.5,41.3
MA,10/4/2016,11/6/2016,B,1963,lv,51.3,28.6
MI,9/1/2016,10/30/2016,,746,lv,47,28
MI,10/4/2016,11/6/2016,B,3014,lv,42,36
NV,9/27/2016,10/2/2016,B+,700,lv,44,41
KS,10/17/2016,11/6/2016,A-,361,lv,38.22,54.45
IN,10/4/2016,11/6/2016,B,1742,lv,36.6,43.8
MN,10/4/2016,11/6/2016,B,1736,lv,42.3,35.9
TN,10/4/2016,11/6/2016,B,1729,lv,33.9,48.3
GA,10/4/2016,11/6/2016,B,2663,lv,40.5,45.4
MD,10/4/2016,11/6/2016,B,1652,lv,55,29.2
WA,10/4/2016,11/6/2016,B,1985,lv,47.4,31.7
NJ,10/12/2016,10/16/2016,A,293,lv,49,35
TN,9/19/2016,10/2/2016,B+,1000,rv,33,44
MO,10/4/2016,11/6/2016,B,1814,lv,35.8,43.3
WI,10/4/2016,11/6/2016,B,1794,lv,42.2,37.7
NC,10/25/2016,10/26/2016,B-,1273,rv,49,47
SC,10/24/2016,11/6/2016,A-,251,lv,43.61,49.43
UT,10/12/2016,10/14/2016,B,951,lv,20,37
AL,10/4/2016,11/6/2016,B,1388,lv,31.6,52.6
LA,10/4/2016,11/6/2016,B,1355,lv,35.9,47.3
FL,9/27/2016,9/29/2016,B+,820,lv,46,42
AZ,10/4/2016,11/6/2016,B,1567,lv,37.8,46.3
CO,10/4/2016,11/6/2016,B,1556,lv,42.1,36.9
VA,9/21/2016,9/23/2016,B,1237,lv,45,37
AR,10/17/2016,11/6/2016,A-,331,lv,38.14,53.35
VA,10/25/2016,10/28/2016,C+,766,lv,50,32
NV,10/17/2016,11/6/2016,A-,339,lv,45.39,42.15
AR,11/1/2016,11/7/2016,B,207,lv,30.81,46.85
NM,9/28/2016,10/2/2016,A,594,lv,46,33
