CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
5332,"NON-BLACK, NON-HISPANIC",FEMALE,38658.8,6,1959,83.44901,2,,15,2
5333,"NON-BLACK, NON-HISPANIC",FEMALE,8836.297,4,1958,54.144,0,,13,5
5334,"NON-BLACK, NON-HISPANIC",MALE,26508.89,8,1960,59.959,2,105961.6,16,2
5335,"NON-BLACK, NON-HISPANIC",MALE,,7,1959,55.057,2,,12,3
5336,"NON-BLACK, NON-HISPANIC",MALE,51913.24,5,1962,36.242,2,,12,3
5337,"NON-BLACK, NON-HISPANIC",MALE,0,12,1958,42.661,2,128955.6,12,3
5338,"NON-BLACK, NON-HISPANIC",FEMALE,36218.88,10,1962,52.599,2,61753.39,12,1
5339,"NON-BLACK, NON-HISPANIC",FEMALE,0,12,1958,65.819,2,,12,0
5340,"NON-BLACK, NON-HISPANIC",FEMALE,8284.028,5,1959,20.057,2,108250.1,14,3
5341,"NON-BLACK, NON-HISPANIC",FEMALE,110453.7,1,1962,91.40701,2,108976.6,16,3
5342,"NON-BLACK, NON-HISPANIC",MALE,0,6,1963,71.119,2,108976.6,16,3
5343,"NON-BLACK, NON-HISPANIC",MALE,74239.25,11,1960,54.256,2,,17,1
5344,"NON-BLACK, NON-HISPANIC",MALE,9940.834,9,1963,47.881,2,,16,1
5345,"NON-BLACK, NON-HISPANIC",MALE,,1,1960,73.369,2,,15,3
5346,"NON-BLACK, NON-HISPANIC",MALE,,5,1962,69.509,2,,13,3
5347,"NON-BLACK, NON-HISPANIC",MALE,86153.89,7,1962,47.259,2,,14,2
5348,"NON-BLACK, NON-HISPANIC",MALE,138067.1,8,1964,71.464,2,,16,2
